name,description,url,category
Azure Resource Manager,"Azure Resource Manager enables you to work with the resources in your solution as a group. You can deploy, update, or delete all the resources for your solution in a single, coordinated operation. You use an Azure Resource Manager template for deployment and that template can work for different environments such as testing, staging, and production. Resource Manager provides security, auditing, and tagging features to help you manage your resources after deployment.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Security
Azure Monitor,"Azure Monitor offers visualization, query, routing, alerting, auto scale, and automation on data both from the Azure subscription (Activity Log) and each individual Azure resource (Resource Logs). You can use Azure Monitor to alert you on security-related events that are generated in Azure logs.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Security
Azure Monitor logs,Azure Monitor logs â Provides an IT management solution for both on-premises and non-Microsoft cloud-based infrastructure (such as Amazon Web Services) in addition to Azure resources. Data from Azure Monitor can be routed directly to Azure Monitor logs so you can see metrics and logs for your entire environment in one place.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Other
Azure Advisor,"Azure Advisor is a personalized cloud consultant that helps you to optimize your Azure deployments. It analyzes your resource configuration and usage data. It then recommends solutions to help improve the performance, security, and reliability of your resources while looking for opportunities to reduce your overall Azure spend. Azure Advisor provides security recommendations, which can significantly improve your overall security posture for solutions you deploy in Azure. These recommendations are drawn from security analysis performed by Microsoft Defender for Cloud.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Security
Authentication and authorization in Azure App Service,App Service Authentication / Authorization is a feature that provides a way for your application to sign in users so that you don't have to change code on the app backend. It provides an easy way to protect your application and work with per-user data.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Other
Azure role-based access control (Azure RBAC),"You can secure your storage account with Azure role-based access control (Azure RBAC). Restricting access based on the need to know and least privilege security principles is imperative for organizations that want to enforce Security policies for data access. These access rights are granted by assigning the appropriate Azure role to groups and applications at a certain scope. You can use Azure built-in roles, such as Storage Account Contributor, to assign privileges to users. Access to the storage keys for a storage account using the Azure Resource Manager model can be controlled through Azure RBAC.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Storage
Azure Virtual Network,"An Azure virtual network (VNet) is a representation of your own network in the cloud. It's a logical isolation of the Azure network fabric dedicated to your subscription. You can fully control the IP address blocks, DNS settings, security policies, and route tables within this network. You can segment your VNet into subnets and place Azure IaaS virtual machines (VMs) and/or Cloud services (PaaS role instances) on Azure Virtual Networks.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Compute
Azure Virtual Network Manager,"Azure Virtual Network Manager  provides a centralized solution for protecting your virtual networks at scale. It uses security admin rules to centrally define and enforce security policies for your virtual networks across your entire organization. Security admin rules take precedence over network security group(NSGs) rules and are applied on the virtual network. This allows organizations to enforce core policies with security admin rules, while still enabling downstream teams to tailor NSGs according to their specific needs at the subnet and NIC levels. Depending on the needs of your organization you can use Allow, Deny, or Always Allow rule actions to enforce security policies.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Networking
Azure Private Link,"Azure Private Link enables you to access Azure PaaS Services (for example, Azure Storage and SQL Database) and Azure hosted customer-owned/partner services privately in your virtual network over a private endpoint. Setup and consumption using Azure Private Link is consistent across Azure PaaS, customer-owned, and shared partner services. Traffic from your virtual network to the Azure service always remains on the Microsoft Azure backbone network.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Storage
Azure Load Balancer,"Azure Load Balancer delivers high availability and network performance to your applications. It's a Layer 4 (TCP, UDP) load balancer that distributes incoming traffic among healthy instances of services defined in a load-balanced set. Azure Load Balancer can be configured to:",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Networking
Azure DNS,"The Domain Name System, or DNS, is responsible for translating (or resolving) a website or service name to its IP address. Azure DNS is a hosting service for DNS domains, providing name resolution using Microsoft Azure infrastructure. By hosting your domains in Azure, you can manage your DNS records using the same credentials, APIs, tools, and billing as your other Azure services. DNS supports the availability aspect of the âCIAâ security triad.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Networking
Azure Monitor logs NSGs,You can enable the following diagnostic log categories for NSGs:,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Other
Azure confidential computing,"Azure confidential computing provides the final, missing piece, of the data protection puzzle. It allows you to keep your data encrypted always. While at rest, when in motion through the network, and now, even while loaded in memory and in use. Additionally, by making Remote Attestation possible, it allows you to cryptographically verify that the VM you deploy booted securely and is configured correctly, before unlocking your data.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Compute
Azure Site Recovery,"An important part of your organization's business continuity/disaster recovery (BCDR) strategy is figuring out how to keep corporate workloads and apps up and running when planned and unplanned outages occur. Azure Site Recovery helps orchestrate replication, failover, and recovery of workloads and apps so that they're available from a secondary location if your primary location goes down.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Other
Ransomware protection in Azure,"Ransomware and extortion are a high profit, low-cost business, which has a debilitating impact on targeted organizations, national/regional security, economic security, and public health and safety. What started as simple, single-PC ransomware grew to include various extortion techniques directed at all types of corporate networks and cloud platforms.",https://learn.microsoft.com/en-us/azure/security/fundamentals/ransomware-protection,Networking
What is Azure Policy?,"This overview describes how Azure Policy helps to enforce organizational standards and to assess compliance at-scale. Through its compliance dashboard, it provides an aggregated view to evaluate the overall state of the environment, with the ability to drill down to the per-resource, per-policy granularity. It also helps to bring your resources to compliance through bulk remediation for existing resources and automatic remediation for new resources.",https://learn.microsoft.com/en-us/azure/governance/policy/overview,Other
Azure Policy and Azure RBAC,"There are a few key differences between Azure Policy and Azure role-based access control (Azure RBAC). Azure Policy evaluates state by examining properties on resources that are represented in Resource Manager and properties of some Resource Providers. Azure Policy ensures that resource state is compliant to your business rules without concern for who made the change or who has permission to make a change. Azure Policy through DenyAction effect can also block certain actions on resources. Some Azure Policy resources, such as policy definitions, initiative definitions, and assignments, are visible to all users. This design enables transparency to all users and services for what policy rules are set in their environment.",https://learn.microsoft.com/en-us/azure/governance/policy/overview,Other
Azure RBAC permissions in Azure Policy,"Azure Policy has several permissions, known as operations, in two Resource Providers:",https://learn.microsoft.com/en-us/azure/governance/policy/overview,Other
Special permissions requirement for Azure Policy with Azure Virtual Network Manager,Azure Virtual Network Manager (preview) enables you to apply consistent management and security policies to multiple Azure virtual networks throughout your cloud infrastructure. Azure Virtual Network Manager (AVNM) dynamic groups use Azure Policy definitions to evaluate virtual network membership in those groups.,https://learn.microsoft.com/en-us/azure/governance/policy/overview,Networking
Resources covered by Azure Policy,"Although a policy can be assigned at the management group level, only resources at the subscription or resource group level are evaluated.",https://learn.microsoft.com/en-us/azure/governance/policy/overview,Other
Azure Policy objects,"The objects include policy definitions, initiative definitions, and assignments.",https://learn.microsoft.com/en-us/azure/governance/policy/overview,Other
Maximum count of Azure Policy objects,"There's a maximum count for each object type for Azure Policy. For definitions, an entry of Scope means the management group or subscription. For assignments and exemptions, an entry of Scope means the management group, subscription, resource group, or individual resource.",https://learn.microsoft.com/en-us/azure/governance/policy/overview,Other
What is an Azure landing zone?,"An Azure landing zone is an environment that follows key design principles across eight design areas. These design principles accommodate all application portfolios and enable application migration, modernization, and innovation at scale. An Azure landing zone uses subscriptions to isolate and scale application resources and platform resources. Subscriptions for application resources are called application landing zones, and subscriptions for platform resources are called platform landing zones.",https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/,Other
Azure landing zone architecture,An Azure landing zone architecture is scalable and modular to meet various deployment needs. The repeatable infrastructure allows you to apply configurations and controls to every subscription consistently. Modules make it easy to deploy and modify specific Azure landing zone architecture components as your requirements evolve.,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/,Other
Azure Verified Modules for Platform Landing Zones,"For infrastructure as code (IaC) deployments, you can use Azure Verified Modules for Platform Landing Zones. Available for both Bicep and Terraform, these modules provide a set of reusable, customizable, and extensible modules that help you deploy a platform landing zone. The modules are designed to help you accelerate the delivery of the recommended resource hierarchy and governance model. You can integrate shared services, network connectivity, and application workloads into your deployment or manage them independently.",https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/,Networking
Azure Platform Landing Zones Portal Accelerator,This accelerator is a ready-made deployment experience. The Azure landing zone portal accelerator deploys the conceptual architecture (see figure 1) and applies predetermined configurations to key components such as management groups and policies. It suits organizations whose conceptual architecture aligns with the planned operating model and resource structure.,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/,Other
Azure cloud management checklist,"Effective cloud management ensures your Azure cloud estate aligns with business objectives and minimizes the effects of incidents. The Cloud Adoption Framework's (CAF) Manage methodology outlines the RAMP (Ready, Administer, Monitor, Protect) process and provides clear steps for managing your Azure cloud estate.",https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/manage/,Other
Introduction to security on Azure,"If you're new to security on Azure, the best way to learn more is with Microsoft Learn training. This free online platform provides interactive training for Microsoft products and more.",https://learn.microsoft.com/en-us/azure/architecture/guide/security/security-start-here,Security
