title,description,url,category
Develop apps using Zero Trust principles,"Zero Trust is a security framework that does not rely on the implicit trust afforded to interactions behind a secure network perimeter. Instead, it uses the principles of explicit verification, least privileged access, and assuming breach to keep users and data secure while allowing for common scenarios like access to applications from outside the network perimeter.",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,Network Security
Develop apps using Zero Trust principles,"As a developer, it is essential that you use Zero Trust principles to keep users safe and data secure. App developers can improve app security, minimize the impact of breaches, and ensure that their applications meet their customers' security requirements by adopting Zero Trust principles.",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,General Security
Zero Trust and Microsoft 365,Microsoft 365 is built with many security and information protection capabilities to help you build Zero Trust into your environment. Many of the capabilities can be extended to protect access to other SaaS apps your organization uses and the data within these apps. See deploying Zero Trust for Microsoft 365 to learn more.,https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,General Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
In this article,"Ransomware attacks deliberately encrypt or erase data and systems to force your organization to pay money to attackers. These attacks target your data, your backups, and also key documentation required for you to recover without paying the attackers (as a means to increase the chances your organization will pay).",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
In this article,This article addresses what to do before an attack to protect your critical business systems and during an attack to ensure a rapid recovery of business operations.,https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
What is ransomware?,"Ransomware is a type of extortion attack that encrypts files and folders, preventing access to important data and systems. Attackers use ransomware to extort money from victims by demanding money, usually in the form of cryptocurrencies, in exchange for a decryption key or in exchange for not releasing sensitive data to the dark web or the public internet.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,Data Protection
What is ransomware?,"While early ransomware mostly used malware that spread with phishing or between devices, human-operated ransomware has emerged where a gang of active attackers, driven by human attack operators, target all systems in an organization (rather than a single device or set of devices). An attack can:",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
What is ransomware?,"The ransomware leverages the attackersâ knowledge of common system and security misconfigurations and vulnerabilities to infiltrate the organization, navigate the enterprise network, and adapt to the environment and its weaknesses as they go.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,Network Security
What is ransomware?,"The real damage is often done when the attack exfiltrates files while leaving backdoors in the network for future malicious activityâand these risks persist whether or not the ransom is paid. These attacks can be catastrophic to business operations and difficult to clean up, requiring complete adversary eviction to protect against future attacks. Unlike early forms of ransomware that only required malware remediation, human-operated ransomware can continue to threaten your business operations after the initial encounter.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,Network Security
Impact of an attack,"The impact of a ransomware attack on any organization is difficult to quantify accurately. Depending on the scope of the attack, the impact could include:",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
How can you protect yourself?,The best way to prevent falling victim to ransomware is to implement preventive measures and have tools that protect your organization from every step that attackers take to infiltrate your systems.,https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
How can you protect yourself?,"You can reduce your on-premises exposure by moving your organization to a cloud service. Microsoft has invested in native security capabilities that make Microsoft Azure resilient against ransomware attacks and helps organizations defeat ransomware attack techniques. For a comprehensive view of ransomware and extortion and how to protect your organization, use the information in the Human-Operated Ransomware Mitigation Project Plan PowerPoint presentation.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
How can you protect yourself?,"You should assume that at some point in time you'll fall victim to a ransomware attack. One of the most important steps you can take to protect your data and avoid paying a ransom is to have a reliable backup and restore plan for your business-critical information. Since ransomware attackers have invested heavily into neutralizing backup applications and operating system features like volume shadow copy, it's critical to have backups that are inaccessible to a malicious attacker.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Azure Backup,"Azure Backup provides security to your backup environment, both when your data is in transit and at rest. With Azure Backup, you can back up:",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Azure Backup,"The backup data is stored in Azure storage and the guest or attacker has no direct access to backup storage or its contents. With virtual machine backup, the backup snapshot creation and storage is done by Azure fabric where the guest or attacker has no involvement other than quiescing the workload for application consistent backups. With SQL and SAP HANA, the backup extension gets temporary access to write to specific blobs. In this way, even in a compromised environment, existing backups can't be tampered with or deleted by the attacker.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Azure Backup,"Checks have been added to make sure only valid users can perform various operations. These include adding an extra layer of authentication. As part of adding an extra layer of authentication for critical operations, you're prompted to enter a security PIN before modifying online backups.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,Authentication
Azure Backup,Learn more about the security features built into Azure Backup.,https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
What to do before an attack,"As mentioned earlier, you should assume that at some point in time you'll fall victim to a ransomware attack. Identifying your business-critical systems and applying best practices before an attack will get you back up and running as quickly as possible.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Determine what is most important to you,Ransomware can attack while you're planning for an attack so your first priority should be to identify the business-critical systems that are most important to you and begin performing regular backups on those systems.,https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Steps to take before an attack,Apply these best practices before an attack.,https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
What to do during an attack,"If you're attacked, your prioritized back up list becomes your prioritized restore list. Before you restore, validate again that your backup is good. You may be able to look for malware inside the backup.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Steps to take during an attack,Apply these best practices during an attack.,https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Post attack or simulation,"After a ransomware attack or an incident response simulation, take the following steps to improve your backup and restore plans as well as your security posture:",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Next steps,"For best practices on deploying ransomware protection, see Rapidly protect against ransomware and extortion.",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Next steps,Help protect from ransomware with Microsoft Azure Backup (26-minute video),https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
Next steps,Advanced multistage attack detection in Microsoft Sentinel,https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,General Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
In this article,"MITRE ATT&CK is a publicly accessible knowledge base of tactics and techniques that are commonly used by attackers, and is created and maintained by observing real-world observations. Many organizations use the MITRE ATT&CK knowledge base to develop specific threat models and methodologies that are used to verify security status in their environments.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,Monitoring
In this article,"Microsoft Sentinel analyzes ingested data, not only to detect threats and help you investigate, but also to visualize the nature and coverage of your organization's security status.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
In this article,"This article describes how to use the MITRE page in Microsoft Sentinel to view the analytics rules (detections) already active in your workspace, and the detections available for you to configure, to understand your organization's security coverage, based on the tactics and techniques from the MITRE ATT&CKÂ® framework.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
View current MITRE coverage,"In the Defender portal, select Microsoft Sentinel > Threat management > MITRE ATT&CK.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
View current MITRE coverage,"To filter the page by a specific threat scenario, toggle the View MITRE by threat scenario option on, and then select a threat scenario from the drop-down menu. The page is updated accordingly. For example:",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
View current MITRE coverage,"In the Azure portal, under Threat management, select MITRE ATT&CK (Preview).",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
View current MITRE coverage,"Use the search bar to search for a specific technique in the matrix, using the technique name or ID, to view your organization's security status for the selected technique.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
View current MITRE coverage,"On the Defender portal, the details pane also shows recommended coverage details, including the ratio of active detections and security services (products) out of all recommended detections and services for the selected technique.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
Simulate possible coverage with available detections,"In the MITRE coverage matrix, simulated coverage refers to detections that are available, but not currently configured in your Microsoft Sentinel workspace. View your simulated coverage to understand your organization's possible security status, were you to configure all detections available to you.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
Simulate possible coverage with available detections,"In Microsoft Sentinel, under Threat management, select MITRE ATTA&CK (Preview), and then select items in the Simulated rules menu to simulate your organization's possible security status.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
Use the MITRE ATT&CK framework in analytics rules and incidents,Having a scheduled rule with MITRE techniques applied running regularly in your Microsoft Sentinel workspace enhances the security status shown for your organization in the MITRE coverage matrix.,https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
Use the MITRE ATT&CK framework in analytics rules and incidents,"For more information, see Detect threats out-of-the-box and Create custom analytics rules to detect threats.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
Use the MITRE ATT&CK framework in analytics rules and incidents,"For more information, see Hunt for threats with Microsoft Sentinel and Keep track of data during hunting with Microsoft Sentinel.",https://learn.microsoft.com/en-us/azure/sentinel/mitre-coverage,General Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,General Security
In this article,"Use summary rules in Microsoft Sentinel to aggregate large sets of data in the background for a smoother security operations experience across all log tiers. Summary data is precompiled in custom log tables and provide fast query performance, including queries run on data derived from low-cost log tiers. Summary rules can help optimize your data for:",https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,Monitoring
Quickly find a malicious IP address in your network traffic,"Scenario: You're a threat hunter, and one of your team's goals is to identify all instances of when a malicious IP address interacted in the network traffic logs from an active incident, in the last 90 days.",https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,Network Security
Quickly find a malicious IP address in your network traffic,Run a subsequent search or correlation with other data to complete the attack story.,https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,General Security
Generate alerts on threat intelligence matches against network data,"Generate alerts on threat intelligence matches against noisy, high volume, and low-security value network data.",https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,Network Security
Generate alerts on threat intelligence matches against network data,Scenario: You need to build an analytics rule for firewall logs to match domain names in the system that have been visited against a threat intelligence domain name list.,https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,Network Security
Generate alerts on threat intelligence matches against network data,"Most of the data sources are raw logs that are noisy and have high volume, but have lower security value, including IP addresses, Azure Firewall traffic, Fortigate traffic, and so on. There's a total volume of about 1 TB per day.",https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,Network Security
Generate alerts on threat intelligence matches against network data,"Extend your query to extract key fields, such as the source address, destination address, and destination port from the CommonSecurityLog_CL table, which is the CommonSecurityLog with the Auxiliary plan.",https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,Monitoring
Generate alerts on threat intelligence matches against network data,Perform an inner lookup against the active Threat Intelligence Indicators to identify any matches with our source address. This allows you to cross-reference your data with known threats.,https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,General Security
Generate alerts on threat intelligence matches against network data,Creating an analytics rule in Microsoft Sentinel that alerts based on results from the MaliciousIPDetection table. This step is crucial for proactive threat detection and incident response.,https://learn.microsoft.com/en-us/azure/sentinel/summary-rules,Monitoring
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
In this article,"Security operations center (SOC) teams look for ways to improve processes and outcomes and ensure you have the data needed to address risks without extra ingestion costs. SOC teams want to make sure that you have all the necessary data to act against risks, without paying for more data than needed. At the same time, SOC teams must also adjust security controls as threats and business priorities change, doing so quickly and efficiently to maximize your return on investment.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
In this article,"SOC optimizations are actionable recommendations that surface ways that you can optimize your security controls, gaining more value from Microsoft security services as time goes on.  Recommendations help you reduce costs without affecting SOC needs or coverage, and can help you add security controls and data where needed. These optimizations are tailored to your environment and based on your current coverage and threat landscape.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
In this article,"Use SOC optimization recommendations to help you close coverage gaps against specific threats and tighten your ingestion rates against data that doesn't provide security value. SOC optimizations help you optimize your Microsoft Sentinel workspace, without having your SOC teams spend time on manual analysis and research.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
Access the SOC optimization page,"Use one of the following tabs, depending on whether you're working in the Azure portal or Defender portal. When your workspace is onboarded to the Defender portal, SOC optimizations include coverage from across Microsoft security services.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
Access the SOC optimization page,"In Microsoft Sentinel in the Azure portal, under Threat management, select SOC optimization.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
Understand SOC optimization overview metrics,"Select See all threat scenarios to view the full list of relevant threat and risk-based scenarios, percentages of active and recommended analytics rules, and coverage levels.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
View optimization details and take action,For threat-based coverage optimizations:,https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
View optimization details and take action,"For threat-based coverage optimizations, select View full threat scenario to see the full list of relevant threats, active and recommended detections, and coverage levels. From there you can jump directly to the Content hub to activate any recommended detections, or to the MITRE ATT&CK page to view the full MITRE ATT&CK coverage for the selected scenario. For example:",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
SOC optimization usage flow,"Add analytics rules to use the table for enhanced protection. To use this option, select Go to the Content Hub to view and configure specific out-of-the-box analytic rule templates that use the selected table. In the Content hub, you don't need to search for the relevant rule, as you're taken directly to the relevant rule.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
SOC optimization usage flow,"If new analytic rules require extra log sources, consider ingesting them to improve threat coverage.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,Monitoring
SOC optimization usage flow,"For more information, see Discover and manage Microsoft Sentinel out-of-the-box content and Detect threats out-of-the-box.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
SOC optimization usage flow,"Use the optimization recommendations to improve coverage against specific threats. For example, for a human-operated ransomware optimization:",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
SOC optimization usage flow,"Select Go to Content hub to view all recommended security content, filtered specifically for this optimization.",https://learn.microsoft.com/en-us/azure/sentinel/soc-optimization/soc-optimization-access,General Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/networking/security/,General Security
Azure network security documentation,Learn about the various Azure network security services available that provide security for your resources in Azure.,https://learn.microsoft.com/en-us/azure/networking/security/,Network Security
Get started,A cloud-native web application firewall (WAF) service that provides powerful protection for web apps,https://learn.microsoft.com/en-us/azure/networking/security/,Network Security
Get started,Protect your applications from Distributed Denial of Service (DDoS) attacks.,https://learn.microsoft.com/en-us/azure/networking/security/,Network Security
Use cases and scenarios,Explore common use cases and scenarios for Azure network security services.,https://learn.microsoft.com/en-us/azure/networking/security/,Network Security
Learn more,Learn more about network security services.,https://learn.microsoft.com/en-us/azure/networking/security/,Network Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Overview,"We know that security is job one in the cloud and how important it is that you find accurate and timely information about Azure security. One of the best reasons to use Azure for your applications and services is to take advantage of its wide array of security tools and capabilities. These tools and capabilities help make it possible to create secure solutions on the secure Azure platform. Microsoft Azure provides confidentiality, integrity, and availability of customer data, while also enabling transparent accountability.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Overview,This article provides a comprehensive look at the security available with Azure.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Azure platform,"Azure public cloud services support the same technologies millions of developers and IT professionals already rely on and trust. When you build on or migrate IT assets to a public cloud service provider, you rely on that organizationâs ability to protect your applications and data. They provide services and controls to manage the security of your cloud-based assets.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Monitoring
Azure platform,"Azure's infrastructure is meticulously crafted from the ground up, encompassing everything from physical facilities to applications, to securely host millions of customers simultaneously. This robust foundation empowers businesses to confidently meet their security requirements.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Azure platform,"In addition, Azure provides you with a wide array of configurable security options and the ability to control them so that you can customize security to meet the unique requirements of your organizationâs deployments. This document helps you understand how Azure security capabilities can help you fulfill these requirements.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Azure platform,The primary focus of this document is on customer-facing controls that you can use to customize and increase security for your applications and services.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Azure platform,"For information on how Microsoft secures the Azure platform itself, see Azure infrastructure security.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Summary of Azure security capabilities,"Depending on the cloud service model, there's variable responsibility for who is responsible for managing the security of the application or service. There are capabilities available in the Azure Platform to assist you in meeting these responsibilities through built-in features, and through partner solutions that can be deployed into an Azure subscription.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Operations,This section provides additional information regarding key features in security operations and summary information about these capabilities.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Microsoft Sentinel,"Microsoft Sentinel is a scalable, cloud-native, security information, and event management (SIEM) and security orchestration, automation, and response (SOAR) solution. Microsoft Sentinel delivers intelligent security analytics and threat intelligence across the enterprise. Microsoft Sentinel provides a single solution for attack detection, threat visibility, proactive hunting, and threat response.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Microsoft Defender for Cloud,"Microsoft Defender for Cloud helps you prevent, detect, and respond to threats with increased visibility into and control over the security of your Azure resources. Microsoft Defender for Cloud provides integrated security monitoring and policy management across your Azure subscriptions. Microsoft Defender for Cloud helps detect threats that might otherwise go unnoticed, and works with a broad ecosystem of security solutions.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Monitoring
Microsoft Defender for Cloud,"In addition, Defender for Cloud helps with security operations by providing you with a single dashboard that surfaces alerts and recommendations that can be acted upon immediately. Often, you can remediate issues with a single selection within the Defender for Cloud console.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Monitoring
Azure Resource Manager,"Azure Resource Manager enables you to work with the resources in your solution as a group. You can deploy, update, or delete all the resources for your solution in a single, coordinated operation. You use an Azure Resource Manager template for deployment and that template can work for different environments such as testing, staging, and production. Resource Manager provides security, auditing, and tagging features to help you manage your resources after deployment.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Monitoring
Azure Resource Manager,Azure Resource Manager template-based deployments help improve the security of solutions deployed in Azure because standard security control settings and can be integrated into standardized template-based deployments. Templates reduce the risk of security configuration errors that might take place during manual deployments.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Compliance
Application Insights,"If there are crashes, failures, or performance issues, you can search through the data in detail to diagnose the cause. And the service sends you emails if there are any changes in the availability and performance of your app. Application Insight thus becomes a valuable security tool because it helps with the availability in the confidentiality, integrity, and availability security triad.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Azure Monitor,"Azure Monitor offers visualization, query, routing, alerting, auto scale, and automation on data both from the Azure subscription (Activity Log) and each individual Azure resource (Resource Logs). You can use Azure Monitor to alert you on security-related events that are generated in Azure logs.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Monitoring
Azure Monitor logs,"Azure Monitor logs can be a useful tool in forensic and other security analysis, as the tool enables you to quickly search through large amounts of security-related entries with a flexible query approach. In addition, on-premises firewall and proxy logs can be exported into Azure and made available for analysis using Azure Monitor logs.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Network Security
Azure Advisor,"Azure Advisor is a personalized cloud consultant that helps you to optimize your Azure deployments. It analyzes your resource configuration and usage data. It then recommends solutions to help improve the performance, security, and reliability of your resources while looking for opportunities to reduce your overall Azure spend. Azure Advisor provides security recommendations, which can significantly improve your overall security posture for solutions you deploy in Azure. These recommendations are drawn from security analysis performed by Microsoft Defender for Cloud.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Applications,The section provides additional information regarding key features in application security and summary information about these capabilities.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Web Application firewall,"The Web Application Firewall (WAF) in Azure Application Gateway provides protection for web applications against common web-based attacks such as SQL injection, cross-site scripting, and session hijacking. It is preconfigured to defend against the top 10 vulnerabilities identified by the Open Web Application Security Project (OWASP).",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Network Security
Authentication and authorization in Azure App Service,App Service Authentication / Authorization is a feature that provides a way for your application to sign in users so that you don't have to change code on the app backend. It provides an easy way to protect your application and work with per-user data.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Authentication
Layered Security Architecture,"Since App Service Environments provide an isolated runtime environment deployed into an Azure Virtual Network, developers can create a layered security architecture providing differing levels of network access for each application tier. It's common to hide API back-ends from general Internet access, and only permit APIs to be called by upstream web apps. Network Security groups (NSGs) can be used on Azure Virtual Network subnets containing App Service Environments to restrict public access to API applications.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Network Security
Storage,The section provides additional information regarding key features in Azure storage security and summary information about these capabilities.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Azure role-based access control (Azure RBAC),"You can secure your storage account with Azure role-based access control (Azure RBAC). Restricting access based on the need to know and least privilege security principles is imperative for organizations that want to enforce Security policies for data access. These access rights are granted by assigning the appropriate Azure role to groups and applications at a certain scope. You can use Azure built-in roles, such as Storage Account Contributor, to assign privileges to users. Access to the storage keys for a storage account using the Azure Resource Manager model can be controlled through Azure RBAC.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,General Security
Encryption in Transit,"Encryption in transit is a mechanism of protecting data when it's transmitted across networks. With Azure Storage, you can secure data using:",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Data Protection
Encryption at rest,"For many organizations, data encryption at rest is a mandatory step towards data privacy, compliance, and data sovereignty. There are three Azure storage security features that provide encryption of data that is at rest:",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Data Protection
Networking,The section provides additional information regarding key features in Azure network security and summary information about these capabilities.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Network Security
Network Layer Controls,Network access control is the act of limiting connectivity to and from specific devices or subnets and represents the core of network security. The goal of network access control is to make sure that your virtual machines and services are accessible to only users and devices to which you want them accessible.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Network Security
Network Security Groups,A Network Security Group (NSG) is a basic stateful packet filtering firewall and it enables you to control access based on a five-tuple. NSGs don't provide application layer inspection or authenticated access controls. They can be used to control traffic moving between subnets within an Azure Virtual Network and traffic between an Azure Virtual Network and the Internet.,https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Network Security
